job_title,company,location,job_type,category,salary_min,salary_max,experience_required,publication_date,skills,education_level,company_size,benefits
Software Engineer,DigitalWorks,Remote,Part-time,Technology,72899,150681,4.0,11/27/2025,"Node.js, SQL, Docker, Kubernetes, JavaScript",Master's Degree,1000+ employees,"Dental, Vision, Annual Bonus"
DevOps Engineer,InnovateLab,"Atlanta, GA",Contract,Technology,72611,150517,3.0,11/27/2025,"Git, Ruby, Go, Machine Learning, MongoDB",Unspecified,201-500 employees,"Stock Options, Remote Work Stipend"
Full Stack Developer,EnterpriseHub,"Boston, MA",Part-time,Technology,81791,141013,3.0,11/27/2025,"TensorFlow, REST APIs, Git, Agile",Master's Degree,1-50 employees,"Dental, Vision, Annual Bonus"
Software Engineer,TechCorp,"Toronto, Canada",Remote,Technology,73214,149493,3.0,11/27/2025,"Node.js, CI/CD, TypeScript, Kubernetes, MongoDB",High School,1000+ employees,"Stock Options, Remote Work Stipend"
Business Analyst,CloudSystems,"San Francisco, CA",Part-time,Technology,79929,141936,3.0,11/27/2025,"SQL, Docker, AWS, Kubernetes, Python",Associate Degree,1-50 employees,"Health Insurance, 401(k), Unlimited PTO"
System Administrator,WebDynamics,"London, UK",Part-time,Technology,79215,141984,2.0,11/27/2025,"Agile, Node.js, React, REST APIs",Bachelor's Degree,1000+ employees,"Stock Options, Remote Work Stipend"
Machine Learning Engineer,AI Solutions,"Toronto, Canada",Full-time,Technology,79372,141777,3.0,11/27/2025,"AWS, Go, Git, React",Master's Degree,201-500 employees,"Dental, Vision, Annual Bonus"
Frontend Developer,InnovateLab,Remote,Full-time,Technology,87625,132532,5.0,11/27/2025,"Machine Learning, Python, Docker, Git, Node.js",PhD,501-1000 employees,"Dental, Vision, Annual Bonus"
UX Designer,TechCorp,"London, UK",Full-time,Technology,80235,139878,5.0,11/27/2025,"Docker, TypeScript, REST APIs, Kubernetes, TensorFlow, Ruby, React",High School,501-1000 employees,"Health Insurance, 401(k), Unlimited PTO"
Junior Developer,WebDynamics,"San Francisco, CA",Full-time,Technology,75038,145045,0.0,11/27/2025,"JavaScript, Kubernetes, REST APIs, Python, AWS, TensorFlow",Master's Degree,1000+ employees,"Dental, Vision, Annual Bonus"
Solutions Architect,DigitalWorks,"Austin, TX",Contract,Technology,79969,139758,2.0,11/27/2025,"MongoDB, TypeScript, Machine Learning, Ruby, Python, Agile, TensorFlow",High School,201-500 employees,"Stock Options, Remote Work Stipend"
Security Engineer,CodeFactory,"Austin, TX",Full-time,Technology,83062,136568,3.0,11/27/2025,"Python, React, CI/CD",Associate Degree,201-500 employees,"Health Insurance, 401(k), Unlimited PTO"
Solutions Architect,TechCorp,"Atlanta, GA",Full-time,Technology,74245,145021,2.0,11/27/2025,"CI/CD, Machine Learning, Docker, TypeScript",Bachelor's Degree,51-200 employees,"Dental, Vision, Annual Bonus"
Solutions Architect,CloudSystems,"Boston, MA",Full-time,Technology,87002,132231,3.0,11/27/2025,"AWS, CI/CD, Python",Unspecified,51-200 employees,"Dental, Vision, Annual Bonus"
Machine Learning Engineer,EnterpriseHub,"Berlin, Germany",Remote,Technology,86275,132888,4.0,11/27/2025,"Kubernetes, TensorFlow, JavaScript, Git, React, Python, Go",High School,51-200 employees,"Health Insurance, 401(k), Unlimited PTO"
Security Engineer,TechCorp,"Atlanta, GA",Full-time,Technology,85072,132469,5.0,11/27/2025,"REST APIs, React, Ruby, Python, Git",Bachelor's Degree,51-200 employees,"Health Insurance, 401(k), Unlimited PTO"
Machine Learning Engineer,DataInc,"Berlin, Germany",Contract,Technology,77143,139717,3.0,11/27/2025,"Machine Learning, React, REST APIs, CI/CD, Go, Docker",High School,51-200 employees,"Dental, Vision, Annual Bonus"
Backend Developer,WebDynamics,Remote,Contract,Technology,76412,139674,3.0,11/27/2025,"CI/CD, Agile, SQL, TensorFlow, Docker",Unspecified,1-50 employees,"Stock Options, Remote Work Stipend"
Software Engineer,WebDynamics,"Berlin, Germany",Contract,Technology,78733,137099,3.0,11/27/2025,"AWS, Git, Ruby, TensorFlow, Agile",Associate Degree,1000+ employees,"Dental, Vision, Annual Bonus"
Machine Learning Engineer,CloudSystems,"Boston, MA",Part-time,Technology,81416,134304,2.0,11/27/2025,"CI/CD, Go, Node.js, Ruby, REST APIs",PhD,51-200 employees,"Health Insurance, 401(k), Unlimited PTO"
Frontend Developer,CloudSystems,"Boston, MA",Contract,Technology,75229,140057,2.0,11/27/2025,"Java, React, Agile, Docker, Python, Machine Learning",Associate Degree,1-50 employees,"Stock Options, Remote Work Stipend"
Machine Learning Engineer,StartupXYZ,Remote,Full-time,Technology,81209,133662,3.0,11/27/2025,"Machine Learning, Go, Git, Docker, REST APIs, CI/CD",High School,201-500 employees,"Stock Options, Remote Work Stipend"
Solutions Architect,TechCorp,"Austin, TX",Part-time,Technology,81682,133112,5.0,11/27/2025,"Ruby, Python, React, Java, TensorFlow, JavaScript, REST APIs",Bachelor's Degree,501-1000 employees,"Dental, Vision, Annual Bonus"
Solutions Architect,CodeFactory,"Atlanta, GA",Part-time,Technology,83140,131579,3.0,11/27/2025,"Node.js, MongoDB, Go, Agile, AWS, TypeScript, Machine Learning",Unspecified,1-50 employees,"Dental, Vision, Annual Bonus"
Software Engineer,EnterpriseHub,"Toronto, Canada",Part-time,Technology,78059,136317,4.0,11/27/2025,"CI/CD, Python, Kubernetes",Unspecified,1000+ employees,"Stock Options, Remote Work Stipend"
Data Scientist,EnterpriseHub,"Austin, TX",Part-time,Technology,82317,131764,5.0,11/27/2025,"REST APIs, AWS, SQL",Master's Degree,201-500 employees,"Dental, Vision, Annual Bonus"
Machine Learning Engineer,CloudSystems,"Boston, MA",Remote,Technology,73064,140990,2.0,11/27/2025,"React, Node.js, Docker, Python, Ruby",Associate Degree,501-1000 employees,"Health Insurance, 401(k), Unlimited PTO"
Software Engineer,CloudSystems,"Boston, MA",Remote,Technology,74824,138525,5.0,11/27/2025,"TensorFlow, Machine Learning, Node.js, JavaScript, Agile, TypeScript",High School,51-200 employees,"Health Insurance, 401(k), Unlimited PTO"
Solutions Architect,DigitalWorks,"Denver, CO",Part-time,Technology,76836,135463,5.0,11/27/2025,"Go, Agile, Python, Docker, CI/CD, React, TensorFlow",Associate Degree,201-500 employees,"Stock Options, Remote Work Stipend"
DevOps Engineer,InnovateLab,Remote,Part-time,Technology,71916,140205,3.0,11/27/2025,"Machine Learning, Python, TypeScript, Kubernetes, REST APIs, Ruby",High School,1-50 employees,"Dental, Vision, Annual Bonus"
Frontend Developer,StartupXYZ,"Toronto, Canada",Part-time,Technology,72650,138650,4.0,11/27/2025,"TypeScript, React, Agile, SQL, Git, Go, MongoDB",Associate Degree,201-500 employees,"Health Insurance, 401(k), Unlimited PTO"
DevOps Engineer,StartupXYZ,"Boston, MA",Full-time,Technology,75901,135037,4.0,11/27/2025,"Ruby, Go, MongoDB, TypeScript, Machine Learning",Master's Degree,1000+ employees,"Dental, Vision, Annual Bonus"
DevOps Engineer,StartupXYZ,"Berlin, Germany",Full-time,Technology,71538,139212,4.0,11/27/2025,"Agile, Docker, React, Go, SQL, Kubernetes, CI/CD",Bachelor's Degree,501-1000 employees,"Dental, Vision, Annual Bonus"
System Administrator,WebDynamics,"Seattle, WA",Full-time,Technology,84186,125685,2.0,11/27/2025,"SQL, Kubernetes, Git, Go, Ruby, Agile",PhD,201-500 employees,"Dental, Vision, Annual Bonus"
QA Engineer,EnterpriseHub,"Chicago, IL",Contract,Technology,70109,138893,4.0,11/27/2025,"Go, Agile, TypeScript, CI/CD, TensorFlow, Ruby, Java",Bachelor's Degree,1000+ employees,"Stock Options, Remote Work Stipend"
Software Engineer,AI Solutions,"Boston, MA",Remote,Technology,74316,134145,2.0,11/27/2025,"Agile, Kubernetes, Machine Learning",PhD,1000+ employees,"Health Insurance, 401(k), Unlimited PTO"
Solutions Architect,TechCorp,"Chicago, IL",Remote,Technology,71875,134585,3.0,11/27/2025,"Kubernetes, Python, Machine Learning",Associate Degree,51-200 employees,"Dental, Vision, Annual Bonus"
Full Stack Developer,DataInc,"Boston, MA",Part-time,Technology,76018,130316,5.0,11/27/2025,"SQL, Go, TypeScript, CI/CD, Node.js, Java",Unspecified,501-1000 employees,"Stock Options, Remote Work Stipend"
Security Engineer,TechCorp,"Austin, TX",Contract,Technology,71872,134040,2.0,11/27/2025,"Docker, Agile, Ruby, SQL, Machine Learning, TensorFlow",Associate Degree,51-200 employees,"Stock Options, Remote Work Stipend"
Business Analyst,CodeFactory,"New York, NY",Remote,Technology,82129,122656,4.0,11/27/2025,"Machine Learning, Node.js, Docker, CI/CD",Master's Degree,1-50 employees,"Health Insurance, 401(k), Unlimited PTO"
Junior Developer,DataInc,"Chicago, IL",Contract,Technology,73663,123800,1.0,11/27/2025,"Agile, Java, AWS, Git, Machine Learning, Ruby, Docker",PhD,51-200 employees,"Dental, Vision, Annual Bonus"
Business Analyst,CodeFactory,"New York, NY",Contract,Technology,69993,124119,3.0,11/27/2025,"Agile, Go, CI/CD",Master's Degree,201-500 employees,"Stock Options, Remote Work Stipend"
Junior Developer,DigitalWorks,"Toronto, Canada",Contract,Technology,70717,121078,0.0,11/27/2025,"Git, MongoDB, REST APIs, Agile, Go, CI/CD, Python",Bachelor's Degree,1000+ employees,"Health Insurance, 401(k), Unlimited PTO"
Junior Developer,AI Solutions,"Denver, CO",Full-time,Technology,71565,119090,1.0,11/27/2025,"Ruby, CI/CD, AWS, Node.js, Git, SQL",High School,1-50 employees,"Stock Options, Remote Work Stipend"
Business Analyst,DigitalWorks,"Denver, CO",Remote,Technology,65168,114551,4.0,11/27/2025,"Docker, TensorFlow, React, Agile, Python, SQL, CI/CD",Master's Degree,1000+ employees,"Health Insurance, 401(k), Unlimited PTO"
System Administrator,WebDynamics,"Denver, CO",Full-time,Technology,65403,112418,5.0,11/27/2025,"React, Agile, Python, Docker, JavaScript, Kubernetes",Bachelor's Degree,1-50 employees,"Stock Options, Remote Work Stipend"
Junior Developer,DataInc,"Austin, TX",Contract,Technology,57074,119803,2.0,11/27/2025,"MongoDB, Python, TypeScript, React, Node.js",Master's Degree,1000+ employees,"Stock Options, Remote Work Stipend"
Junior Developer,AI Solutions,"Boston, MA",Part-time,Technology,61463,114523,1.0,11/27/2025,"MongoDB, Go, CI/CD, React, Java, Kubernetes, Git",Associate Degree,201-500 employees,"Stock Options, Remote Work Stipend"
UX Designer,TechCorp,"Boston, MA",Remote,Technology,66215,105651,3.0,11/27/2025,"Agile, TensorFlow, Ruby, JavaScript, Docker",Master's Degree,501-1000 employees,"Dental, Vision, Annual Bonus"
System Administrator,CodeFactory,"Chicago, IL",Remote,Technology,64421,107131,3.0,11/27/2025,"Node.js, React, REST APIs, Kubernetes",Master's Degree,201-500 employees,"Dental, Vision, Annual Bonus"
System Administrator,EnterpriseHub,"Boston, MA",Remote,Technology,69504,101397,3.0,11/27/2025,"Python, Ruby, Machine Learning, SQL, Docker",Associate Degree,1-50 employees,"Stock Options, Remote Work Stipend"
System Administrator,TechCorp,"Austin, TX",Contract,Technology,63238,103813,2.0,11/27/2025,"AWS, React, Agile, TypeScript",Bachelor's Degree,1-50 employees,"Dental, Vision, Annual Bonus"
Business Analyst,WebDynamics,"Austin, TX",Contract,Technology,59839,106042,4.0,11/27/2025,"TypeScript, Git, Go",High School,51-200 employees,"Stock Options, Remote Work Stipend"
Data Analyst,EnterpriseHub,"Austin, TX",Full-time,Technology,60240,104773,5.0,11/27/2025,"Docker, AWS, MongoDB, Kubernetes, JavaScript",Master's Degree,51-200 employees,"Stock Options, Remote Work Stipend"
System Administrator,CodeFactory,"Berlin, Germany",Remote,Technology,65099,99882,5.0,11/27/2025,"REST APIs, AWS, React",High School,1000+ employees,"Dental, Vision, Annual Bonus"
UX Designer,StartupXYZ,"Denver, CO",Full-time,Technology,62677,102299,4.0,11/27/2025,"Ruby, React, JavaScript, TypeScript, SQL, AWS",Master's Degree,1000+ employees,"Dental, Vision, Annual Bonus"
System Administrator,DigitalWorks,"Chicago, IL",Remote,Technology,56323,108363,4.0,11/27/2025,"Node.js, React, Machine Learning, CI/CD, Agile, TypeScript, Java",Bachelor's Degree,51-200 employees,"Dental, Vision, Annual Bonus"
Business Analyst,CloudSystems,"Austin, TX",Part-time,Technology,61751,102243,2.0,11/27/2025,"AWS, JavaScript, MongoDB, TensorFlow, Machine Learning, Ruby, Agile",Unspecified,501-1000 employees,"Stock Options, Remote Work Stipend"
Business Analyst,TechCorp,"Atlanta, GA",Remote,Technology,69329,91860,3.0,11/27/2025,"Ruby, Node.js, Git, TensorFlow, CI/CD",Unspecified,201-500 employees,"Stock Options, Remote Work Stipend"
Business Analyst,EnterpriseHub,"Denver, CO",Remote,Technology,60548,99605,2.0,11/27/2025,"MongoDB, Machine Learning, JavaScript, AWS, Node.js, Python",PhD,1-50 employees,"Stock Options, Remote Work Stipend"
Data Analyst,EnterpriseHub,"Chicago, IL",Contract,Technology,50892,107918,3.0,11/27/2025,"Kubernetes, Node.js, Java, SQL, Go, React",PhD,1000+ employees,"Dental, Vision, Annual Bonus"
Business Analyst,InnovateLab,Remote,Full-time,Technology,63339,94476,3.0,11/27/2025,"REST APIs, Kubernetes, MongoDB",PhD,1000+ employees,"Health Insurance, 401(k), Unlimited PTO"
UX Designer,WebDynamics,Remote,Full-time,Technology,65938,91253,2.0,11/27/2025,"Java, Docker, Machine Learning",Associate Degree,501-1000 employees,"Dental, Vision, Annual Bonus"
UX Designer,TechCorp,"Chicago, IL",Contract,Technology,53114,103673,5.0,11/27/2025,"SQL, MongoDB, Ruby, AWS",Bachelor's Degree,501-1000 employees,"Dental, Vision, Annual Bonus"
Data Analyst,StartupXYZ,"Toronto, Canada",Full-time,Technology,52720,103309,3.0,11/27/2025,"SQL, Go, JavaScript, Machine Learning, REST APIs",Unspecified,501-1000 employees,"Dental, Vision, Annual Bonus"
UX Designer,TechCorp,"Atlanta, GA",Contract,Technology,55647,99793,4.0,11/27/2025,"AWS, JavaScript, Machine Learning, REST APIs, Python, Git, Go",Master's Degree,1-50 employees,"Health Insurance, 401(k), Unlimited PTO"
Data Analyst,StartupXYZ,"Denver, CO",Contract,Technology,53490,100804,3.0,11/27/2025,"JavaScript, Kubernetes, TypeScript, Python, TensorFlow, Ruby, Git",Associate Degree,51-200 employees,"Stock Options, Remote Work Stipend"
UX Designer,StartupXYZ,"Denver, CO",Part-time,Technology,55151,98695,2.0,11/27/2025,"Git, Python, AWS, React",PhD,1000+ employees,"Dental, Vision, Annual Bonus"
Data Analyst,InnovateLab,"Austin, TX",Part-time,Technology,51888,91798,3.0,11/27/2025,"Python, TypeScript, TensorFlow, Ruby",Unspecified,1-50 employees,"Stock Options, Remote Work Stipend"
Business Analyst,DigitalWorks,"Toronto, Canada",Part-time,Technology,52419,90437,2.0,11/27/2025,"Python, CI/CD, Machine Learning, SQL",Master's Degree,1-50 employees,"Health Insurance, 401(k), Unlimited PTO"
